RESOLUÃÃO,CTT,UNNAMED: 2,DEMANDA,ATIVO/RECEPTIVO,DIRETOR,BANCO,RESPONSÁVEL,SITUAÃÃO
07/01/2025,218479,1.0,50% A 80%,ATIVO,LEANDRO,PANAMERICANO,MARIA BRUNA,RESOLVIDO
10/01/2025,161808,1.0,50% A 80%,ATIVO,LEANDRO,BRADESCO,IZABEL,RESOLVIDO
13/01/2025,168539,1.0,50% A 80%,ATIVO,LEANDRO,BV FINANCEIRA,MARIA BRUNA,RESOLVIDO
13/01/2025,198772,1.0,50% A 80%,ATIVO,LEANDRO,BV FINANCEIRA,AMANDA SANTANA,RESOLVIDO
13/01/2025,208792,1.0,50% A 80%,ATIVO,LEANDRO,BV FINANCEIRA,AMANDA SANTANA,RESOLVIDO
13/01/2025,213643,1.0,50% A 80%,ATIVO,LEANDRO,PANAMERICANO,JULIA,RESOLVIDO
15/01/2025,197538,1.0,50% A 80%,ATIVO,LEANDRO,TOYOTA,JULIANA,RESOLVIDO
16/01/2025,201829,1.0,50% A 80%,ATIVO,LEANDRO,PANAMERICANO,IZABEL,RESOLVIDO
22/01/2025,200545,1.0,50% A 80%,ATIVO,LEANDRO,BV FINANCEIRA,JULIA,RESOLVIDO
21/01/2025,210078,1.0,50% A 80%,ATIVO,LEANDRO,BV FINANCEIRA,ITAYNNARA,RESOLVIDO
08/01/2025,88461,1.0,50% A 80%,ATIVO,LEANDRO,BRADESCO,EDIANE,RESOLVIDO
10/01/2025,109778,1.0,50% A 80%,ATIVO,LEANDRO,ITAÃ,MARIA BRUNA,RESOLVIDO
10/01/2025,161584,1.0,50% A 80%,ATIVO,LEANDRO,BV FINANCEIRA,AMANDA SANTANA,RESOLVIDO
13/01/2025,109246,1.0,50% A 80%,ATIVO,LEANDRO,BV FINANCEIRA,AMANDA SANTANA,RESOLVIDO
13/01/2025,204870,1.0,50% A 80%,ATIVO,LEANDRO,BRADESCO,MARIA BRUNA,RESOLVIDO
14/01/2025,147564,1.0,50% A 80%,ATIVO,LEANDRO,BRADESCO,EDIANE,RESOLVIDO
17/01/2025,204422,1.0,50% A 80%,ATIVO,LEANDRO,BRADESCO,JULIANA,RESOLVIDO
22/01/2025,153843,1.0,50% A 80%,ATIVO,LEANDRO,BV FINANCEIRA,MARIA BRUNA,RESOLVIDO
21/01/2025,166675,2.0,50% A 80%,ATIVO,LEANDRO,ITAÃ,FABIANA,RESOLVIDO
22/01/2025,172382,1.0,50% A 80%,ATIVO,LEANDRO,BV FINANCEIRA,AMANDA SANTANA,RESOLVIDO
02/01/2025,207068,1.0,50% A 80%,ATIVO,ADRIANO,PANAMERICANO,VICTOR ADRIANO,RESOLVIDO
02/01/2025,218451,1.0,50% A 80%,ATIVO,ADRIANO,PANAMERICANO,VICTOR ADRIANO,RESOLVIDO
02/01/2025,218791,1.0,50% A 80%,ATIVO,ADRIANO,PANAMERICANO,VITORIA,RESOLVIDO
