RESOLUÃÃO,CTT,NÂ°,DEMANDA,ATIVO/RECEPTIVO,DIRETOR,BANCO,RESPONSÃVEL,  ,Unnamed: 9
02/01/2025,228289.0,1.0,"R$ 8.500,00",RECEPTIVO,JULIO,BV FINANCEIRA,BRUNA RAQUEL,RESOLVIDO,SEM DESCONTO
02/01/2025,188800.0,1.0,"R$ 10.000,00",RECEPTIVO,JULIO,BRADESCO,BRUNA RAQUEL,RESOLVIDO,SEM DESCONTO
03/01/2025,144401.0,1.0,"R$ 27.000,00",RECEPTIVO,JULIO,RENNER,ISABELLA,RESOLVIDO,AGUARDANDO A ANÃLISE
02/01/2025,212806.0,2.0,"R$ 50.400,00",RECEPTIVO,ANTUNES,BRADESCO,ALANA,RESOLVIDO,SEM DESCONTO
30/12/2025,223160.0,1.0,"R$ 7.000,00",RECEPTIVO,JULIO,BV FINANCEIRA,ALINE,RESOLVIDO,APROVADO
09/01/2025,180687.0,1.0,"R$ 5.000,00",RECEPTIVO,JULIO,BV FINANCEIRA,ANA LIDIA,RESOLVIDO,APROVADO
02/01/2025,228252.0,1.0,"R$ 10.000,00",RECEPTIVO,JULIO,BRADESCO,BRUNO MARIANO,RESOLVIDO,SEM DESCONTO
08/01/2025,205858.0,2.0,VALORES,RECEPTIVO,JULIO,BRADESCO,POLIANA,RESOLVIDO,SEM DESCONTO
02/01/2025,180451.0,1.0,VALORES,RECEPTIVO,JULIO,RENNER,LETICIA,RESOLVIDO,APROVADO
02/01/2025,226989.0,1.0,"R$ 7.000,00",RECEPTIVO,JULIO,PANAMERICANO,ISABELLA,RESOLVIDO,APROVADO
02/01/2025,192738.0,3.0,"VALORES, tem 8 mil]",RECEPTIVO,JULIO,RENNER,BRUNA RAQUEL,RESOLVIDO,SEM DESCONTO
02/01/2025,183281.0,1.0,"R$ 5.800,00",RECEPTIVO,JULIO,BRADESCO,FABIANA,RESOLVIDO,SEM DESCONTO
02/01/2025,234250.0,2.0,"R$ 15.000,00",RECEPTIVO,JULIO,SANTANDER,BRUNA RAQUEL,RESOLVIDO,APROVADO
02/01/2025,221349.0,1.0,valores,RECEPTIVO,JULIO,RCI,ALANA,RESOLVIDO,SEM DESCONTO
02/01/2025,190661.0,1.0,valores,RECEPTIVO,JULIO,BRADESCO,ISABELLA,RESOLVIDO,SEM DESCONTO
06/01/2025,136113.0,1.0,"R$ 7.000,00",RECEPTIVO,JULIO,SANTANDER,ELISANGELA,RESOLVIDO,TRANSFERÃNCIA
02/01/2025,213208.0,3.0,"48.000,00 Ã 60.000,00",RECEPTIVO,JULIO,BRADESCO,BRUNA RAQUEL,RESOLVIDO,SEM DESCONTO
