DATA,Equipe Júlio,Equipe Leandro e Adriano,Outros,Sem Responsável
01/02/2025,16,44,3,2
01/03/2025,2,58,6,0
01/06/2025,0,86,0,0
01/07/2025,0,212,1,2
01/08/2025,0,189,2,0
01/09/2025,0,53,0,0
01/10/2025,1,132,1,0
01/11/2025,0,1,0,0
